epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,100,48,59,28,61.9,2745,10801,30,0,13.2,7.9;5.1;9.7;14.7;6.1;7.0;45.1;46.3;14.9;31.8;73.2;19.8;4.1;3.9;2.3;2.1;3.6;3.3;1.7;1.8;3.2;3.4;2.9;3.6,33.15,0.12,0.01,0.63,14.952,0.735,3857.0,17529.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,98,76,63,28,235.0,2745,10801,30,0,19.8,8.8;2.8;16.9;13.3;6.9;6.2;80.0;79.3;65.8;40.0;86.2;50.2;1.9;2.1;1.1;0.4;1.4;1.6;3.0;1.4;0.7;1.0;1.5;1.6,33.21,0.12,0.0,0.12,14.954,0.737,1513.0,5957.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,100,83,63,21,234.3,2745,10801,31,0,19.6,7.5;2.7;18.0;13.4;6.4;5.9;91.4;87.2;46.4;53.1;81.6;37.6;2.3;3.4;0.4;0.5;1.0;1.6;1.4;4.6;0.9;1.1;0.7;1.6,33.21,0.12,0.0,0.06,14.954,0.737,634.0,1416.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,100,49,68,20,238.0,2745,10801,33,0,19.9,8.4;4.0;19.4;21.7;5.4;8.1;70.5;77.4;41.2;59.7;93.9;49.0;2.0;3.1;1.4;0.6;2.0;1.9;1.7;1.0;0.7;1.0;1.0;1.1,33.2,0.12,0.0,0.06,14.954,0.737,1025.0,146.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,100,49,69,19,241.8,2745,10801,34,0,19.7,6.2;4.2;14.1;19.4;4.7;5.8;58.2;69.4;43.3;61.6;95.9;69.0;2.1;3.0;0.7;1.4;1.4;1.1;3.0;2.0;1.9;1.6;1.2;1.6,33.2,0.12,0.0,0.06,14.954,0.737,341.0,25585.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,100,69,68,23,241.8,2730,10801,34,0,14.9,4.1;1.9;10.5;9.5;3.8;3.8;51.2;65.9;35.1;31.2;90.7;38.8;1.1;1.1;0.3;0.3;0.5;0.3;3.3;0.5;0.4;0.5;0.4;1.3,33.2,0.12,0.0,0.21,14.954,0.737,292.0,488.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,100,87,65,17,239.0,2730,10801,35,0,11.1,5.5;1.9;5.0;2.0;2.3;1.7;57.9;43.1;19.9;6.9;54.3;54.2;0.7;1.9;0.9;0.9;0.1;0.3;3.8;1.0;0.4;0.0;0.3;0.4,33.23,0.12,0.0,0.08,14.958,0.737,0.0,1513.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,1.0801397805343707,0.7180176159290262,0.3343845438957214,0.9901111111111112,0.00100000,138.5,,,,,,,,,,,,,,,,,,,,,,98,99.71,100,48,65.86,87,59,65.0,69,17,22.29,28,61.9,213.11,241.8,2740.7,10801.0,32.4,0,11.1,16.89,19.9,33.15,33.2,33.23,63.16,0.12,0.12,0.12,17.01,0.0,0.0,0.01,0.06,0.17,0.63,11.268,14.221,14.952,14.95,14.958,15.992,0.735,0.74,0.737,0.0,1094.57,3857.0,146.0,7519.14,25585.0,4,4.0,4,16,16.0,16,4,16,47.7,73.19
2,1,,,,,,,100,57,67,19,107.4,2730,10801,36,0,41.6,33.9;30.2;60.7;60.7;44.6;37.8;89.9;84.5;80.2;78.0;94.8;65.0;26.7;26.2;15.1;14.8;22.3;22.6;13.6;15.8;21.8;22.4;19.9;17.6,33.09,0.12,0.0,0.09,13.979,0.0,1123.0,1464.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,100,77,70,16,240.7,2730,10801,36,0,23.6,11.7;7.8;29.9;16.9;12.8;10.4;70.0;80.4;67.0;45.5;90.3;56.8;7.9;6.8;3.5;4.8;4.8;4.8;7.3;5.5;5.3;5.3;4.5;4.9,33.35,0.12,0.0,4.36,13.979,0.0,48.0,1464.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,100,82,67,16,240.1,2730,10801,36,0,18.0,4.1;2.4;15.5;11.7;3.0;4.7;80.2;72.0;56.2;47.7;86.3;44.0;1.6;1.1;0.0;0.1;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.9,33.33,0.12,0.0,2.09,13.979,0.0,15429.0,16992.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
