epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,57,54,48,31,14.9,210,405,30,0,12.1,6.1;3.8;8.3;13.3;5.1;5.9;41.3;48.4;14.7;29.1;62.2;26.9;3.0;3.1;1.6;1.5;2.3;2.5;1.0;1.3;2.2;2.1;2.0;2.7,31.66,0.08,0.01,0.77,14.979,0.692,5957.0,22949.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,100,80,62,27,253.7,2730,10801,30,0,18.8,5.0;4.1;18.4;16.3;3.9;9.6;69.2;68.1;49.9;53.6;89.3;56.0;1.5;2.2;0.0;0.0;0.2;0.9;0.2;0.0;0.2;0.2;0.4;2.0,31.76,0.08,0.04,0.29,14.98,0.691,1806.0,97.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,93,65,67,20,255.0,2745,10801,32,0,19.5,10.5;3.3;26.9;16.8;4.6;7.7;91.6;86.3;61.3;39.5;88.3;16.1;2.6;2.9;0.2;0.7;1.5;1.3;0.2;0.0;1.1;2.0;0.7;1.8,31.77,0.08,0.04,0.13,14.98,0.691,488.0,1660.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,98,87,67,18,256.3,2715,10801,33,0,17.7,6.2;2.0;15.2;12.7;3.5;3.7;73.9;87.3;59.2;36.9;95.8;23.1;0.2;0.7;0.2;0.0;0.7;0.7;0.0;0.0;0.2;0.4;0.7;0.9,31.77,0.08,0.0,0.1,14.98,0.691,36572.0,5957.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,100,53,66,22,256.8,2730,10801,34,0,18.4,7.7;2.4;15.2;12.9;3.7;7.2;71.3;96.0;63.1;37.2;89.0;27.9;1.1;1.3;0.0;0.0;0.9;1.1;0.7;0.0;1.8;0.2;0.4;1.5,31.77,0.08,0.0,0.03,14.98,0.691,14550.0,97.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,94,72,69,16,256.9,2730,10801,35,0,18.5,6.5;3.3;23.5;9.4;6.8;5.7;71.0;92.1;60.1;41.5;88.6;30.3;1.8;1.8;0.0;0.0;0.7;0.0;0.0;0.0;0.2;0.0;0.2;1.1,31.8,0.08,0.01,0.14,14.98,0.691,1416.0,1513.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,100,53,67,17,257.7,2730,10801,35,0,18.3,7.1;2.0;18.0;10.5;8.8;3.3;90.6;56.0;60.5;39.6;96.1;38.2;1.8;1.8;0.4;0.4;0.9;0.4;0.0;0.0;0.9;0.4;0.2;1.5,31.77,0.08,0.01,0.08,14.98,0.691,292.0,488.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,,97,77,71,19,259.9,2730,10801,36,0,18.1,6.3;1.8;18.3;11.7;5.9;3.3;83.5;51.5;42.7;56.6;96.5;51.3;2.0;1.8;0.0;0.0;0.7;0.4;0.2;0.2;0.2;0.0;0.0;0.0,31.76,0.08,0.0,0.08,14.98,0.691,1269.0,195.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,100,82,68,15,258.1,2730,10801,37,0,17.7,7.5;1.1;11.5;15.2;5.3;2.0;60.0;86.8;39.4;62.9;93.8;35.5;1.3;1.3;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;1.3,31.79,0.08,0.0,0.13,14.98,0.691,488.0,1416.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,,100,58,71,15,259.3,2730,10801,37,0,18.4,6.9;2.6;19.3;10.3;7.0;3.5;54.1;57.0;34.5;61.7;92.1;83.3;2.4;2.0;0.2;0.2;0.7;0.7;0.0;0.0;1.3;0.7;1.1;0.9,31.77,0.08,0.0,0.04,14.98,0.691,1660.0,1757.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,,,,,,97,77,71,20,260.2,2730,10801,38,0,11.8,8.8;2.0;7.9;6.4;2.0;2.4;69.7;33.0;18.7;18.3;98.7;7.9;1.8;0.9;0.7;0.2;0.7;0.9;0.0;0.0;0.9;0.0;0.4;2.0,31.73,0.08,0.01,0.1,14.98,0.691,2636.0,1464.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,,,,,,100,85,70,21,260.7,2730,10801,38,0,11.0,6.7;2.3;6.8;4.6;4.5;2.7;19.8;79.8;13.6;8.3;92.1;11.4;0.8;1.1;0.0;0.8;0.8;1.5;0.4;0.8;0.4;1.1;1.5;1.5,31.73,0.08,0.0,0.1,14.98,0.691,634.0,1660.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,0.835423181196548,0.8153902556769016,0.3396906452178955,0.99,0.01773333,159.2,,,,,,,,,,,,,,,,,,,,,,57,94.67,100,53,70.25,87,48,66.42,71,15,20.08,31,14.9,237.46,260.7,2520.0,9934.7,34.6,0,11.0,16.69,19.5,31.66,31.76,31.8,63.16,0.08,0.08,0.08,16.0,0.0,0.01,0.04,0.03,0.17,0.77,8.394,14.289,14.979,14.98,14.98,15.992,0.691,0.69,0.692,292.0,5647.33,36572.0,97.0,3271.08,22949.0,4,4.0,4,16,16.0,16,4,16,49.3,73.49
2,1,,,,,,,100,11,54,29,110.8,2745,10801,33,0,17.6,8.6;8.5;12.9;13.3;9.0;10.0;53.8;55.8;47.0;42.8;69.6;38.1;5.3;6.4;2.9;3.1;5.5;5.2;4.3;3.2;4.6;4.8;3.8;3.9,34.56,0.08,0.0,0.07,15.572,0.0,244.0,1464.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,100,3,54,30,114.4,2745,10801,31,0,12.0,3.3;1.6;5.8;4.4;2.1;2.6;51.2;57.9;21.0;17.6;82.5;31.2;0.8;0.5;0.2;0.2;0.5;0.5;0.5;0.5;0.4;0.4;0.6;1.3,34.49,0.08,0.0,2.21,15.572,0.0,4052.0,0.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,100,8,54,30,111.0,2745,10801,30,0,12.2,4.0;1.2;7.0;2.7;2.2;1.7;54.2;59.1;26.5;13.8;76.9;35.1;0.9;0.9;0.1;0.2;0.6;0.5;0.9;1.0;0.4;0.4;0.8;1.5,34.48,0.08,0.0,0.03,15.572,0.0,341.0,0.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,100,9,53,31,114.0,2745,10801,30,0,12.3,4.4;1.3;4.8;5.4;1.9;2.4;55.1;62.7;21.1;19.6;85.6;21.5;1.2;1.0;0.3;0.6;0.6;0.4;0.5;0.9;0.7;0.4;0.5;1.4,34.49,0.08,0.0,0.04,15.572,0.0,292.0,4833.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,,,,,,,100,5,53,32,109.9,2760,10801,30,0,12.0,3.7;1.3;4.9;3.5;1.8;1.9;52.2;59.9;19.0;20.0;76.8;35.4;1.1;0.9;0.1;0.2;0.2;0.3;1.9;0.9;0.1;0.3;0.4;1.3,34.47,0.08,0.0,0.03,15.572,0.0,17724.0,14306.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,100,3,54,32,112.8,2760,10801,30,0,11.9,2.8;1.1;5.1;2.8;1.7;1.8;60.1;56.3;25.4;16.8;82.3;22.7;0.8;1.1;0.0;0.1;0.6;0.5;0.5;1.5;0.2;0.3;0.4;1.0,34.48,0.08,0.0,0.04,15.572,0.0,585.0,1416.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,100,9,52,29,111.3,2760,10801,30,0,11.9,2.9;1.0;3.2;5.0;1.1;2.2;52.3;63.1;15.3;29.1;79.9;23.7;0.5;0.5;0.2;0.2;0.4;0.4;0.4;2.1;0.3;0.3;0.6;1.0,34.48,0.08,0.0,0.06,15.572,0.0,341.0,0.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,100,3,53,32,112.6,2760,10801,30,0,12.1,2.9;1.7;6.7;4.4;2.2;1.6;50.4;58.5;17.3;24.5;74.6;38.6;0.8;0.6;0.4;0.2;0.3;0.6;1.2;0.0;0.4;0.8;0.4;2.1,34.51,0.08,0.0,0.06,15.572,0.0,1660.0,1513.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,100,11,52,32,110.1,2760,10801,30,0,12.2,4.1;1.5;5.8;3.2;2.1;2.4;64.4;55.3;21.5;15.6;86.8;20.3;0.9;0.8;0.5;0.1;0.5;0.6;2.1;0.9;0.6;0.7;0.5;1.2,34.49,0.08,0.0,0.06,15.572,0.0,244.0,1367.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,100,3,51,32,114.1,2760,10801,30,0,12.2,3.0;1.5;6.0;6.2;1.6;1.9;48.3;63.2;12.0;26.2;80.8;33.8;1.0;1.4;0.1;0.1;0.5;0.5;0.2;2.2;0.2;0.1;0.5;1.4,34.5,0.08,0.0,0.11,15.572,0.0,0.0,1562.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,,100,17,52,33,110.8,2760,10801,30,0,10.7,2.4;1.3;4.8;2.5;1.6;1.2;52.0;51.4;15.4;11.6;77.7;29.1;0.6;0.6;0.2;0.2;0.7;0.6;0.4;0.8;0.5;0.1;0.7;1.2,34.46,0.08,0.0,0.04,15.572,0.0,17480.0,15966.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
