epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,89,1,49,36,66.8,2760,10801,30,0,7.1,2.0;5.6;3.1;3.6;1.7;2.0;30.9;39.9;6.7;10.3;26.6;32.8;1.0;1.0;0.2;0.3;0.6;0.5;0.1;0.1;0.5;0.4;0.4;0.3,28.02,0.14,0.2,0.66,14.379,0.791,0.0,97.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,100,96,56,28,218.4,2760,10801,30,0,7.7,0.9;13.0;2.2;1.9;0.6;0.3;30.7;46.4;5.3;6.5;31.4;42.4;0.6;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;1.2;0.0,28.02,0.14,0.0,0.06,14.381,0.791,5664.0,14111.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,97,87,57,27,219.0,2760,10801,30,0,7.4,0.6;13.0;1.5;0.9;0.9;1.2;68.5;27.8;4.6;5.6;18.8;29.3;0.6;0.9;0.0;0.0;0.0;0.3;0.3;0.3;0.0;0.0;0.6;0.0,28.03,0.14,0.0,0.03,14.381,0.791,4833.0,13769.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,97,95,57,27,217.1,2745,10801,30,0,8.2,3.1;13.0;4.0;2.1;0.9;1.2;40.0;37.1;4.0;8.3;41.5;39.4;0.3;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.6;0.3;0.0,28.01,0.14,0.0,0.04,14.381,0.791,7128.0,11132.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,100,98,59,30,219.5,2745,10801,30,0,8.6,1.2;18.4;3.6;3.0;0.9;1.8;35.7;44.8;4.5;9.5;44.8;33.2;1.5;0.9;0.0;0.3;0.3;0.3;0.0;0.0;0.0;0.3;0.3;0.0,28.09,0.14,0.55,0.06,14.389,0.791,5126.0,10351.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,99,100,59,25,218.4,2745,10801,30,0,8.4,1.8;18.9;2.2;2.8;0.9;1.5;67.1;24.3;7.1;8.6;32.8;29.2;1.2;1.5;0.0;0.0;0.0;0.3;0.0;0.0;0.3;1.2;0.0;0.3,28.08,0.14,0.0,0.02,14.389,0.791,6005.0,10937.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,100,97,59,26,220.1,2745,10801,30,0,8.0,1.2;13.0;2.2;2.5;0.6;0.6;36.7;45.1;4.9;8.4;31.2;41.4;0.6;0.9;0.0;0.0;0.0;0.6;0.3;0.0;0.6;0.3;0.6;0.6,28.08,0.14,0.0,0.12,14.389,0.791,4394.0,10986.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,,97,94,59,26,218.7,2745,10801,30,0,7.9,2.1;13.6;2.4;1.5;0.3;1.2;53.8;31.6;5.2;5.8;43.5;27.1;0.3;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.3;0.3,28.09,0.14,0.0,0.03,14.389,0.791,29687.0,190820.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,100,98,60,27,220.7,2745,10801,30,0,7.8,1.8;13.1;2.7;0.3;1.8;1.2;54.8;32.7;7.6;3.3;38.1;26.0;1.5;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.6;0.6;0.6,28.07,0.14,0.01,0.02,14.389,0.791,4296.0,11474.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,,100,97,59,25,221.1,2745,10801,30,0,8.9,4.6;13.7;4.3;2.2;0.9;2.5;42.9;49.5;12.2;6.8;41.0;25.0;1.8;0.9;0.3;0.0;0.6;0.3;0.0;0.0;0.6;1.2;0.9;0.9,28.09,0.14,0.0,0.06,14.389,0.791,4687.0,9765.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,,,,,,100,97,60,24,221.6,2745,10801,30,0,8.0,1.2;14.2;3.3;0.3;0.3;0.9;26.7;52.9;9.4;5.5;41.3;31.8;0.6;0.3;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.6;0.6;0.0,28.09,0.14,0.0,0.06,14.389,0.791,3613.0,197802.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,,,,,,96,95,62,23,219.8,2745,10801,30,0,8.0,0.9;15.7;1.8;2.5;0.3;0.3;66.1;27.3;7.1;3.1;31.3;31.3;0.9;0.3;0.6;0.0;0.6;0.0;0.0;0.3;0.6;0.9;0.0;0.3,28.08,0.14,0.0,0.02,14.389,0.791,4394.0,179345.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,,,,,,100,96,61,25,221.3,2745,10801,30,0,9.0,4.0;16.1;3.3;4.6;1.8;2.4;49.7;44.9;4.8;7.3;35.0;29.1;1.5;1.5;0.9;0.3;0.6;0.6;0.3;0.0;2.7;2.1;0.9;0.0,28.08,0.14,0.0,0.05,14.389,0.791,4589.0,19335.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,,,,,,100,95,61,22,220.7,2745,10801,30,0,7.9,0.3;17.3;0.3;1.8;0.3;0.6;62.0;31.7;4.6;5.5;34.5;27.4;0.9;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0,28.08,0.14,0.0,0.06,14.389,0.791,4638.0,11230.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,,,,,,,100,100,61,23,221.2,2745,10801,30,0,7.8,0.9;15.7;0.9;1.5;0.9;0.9;50.8;43.7;3.7;7.7;35.3;21.2;0.6;0.9;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0,28.08,0.14,0.0,0.01,14.389,0.791,4687.0,90185.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,,,,,,,98,95,62,21,222.3,2745,10801,30,0,8.2,0.6;14.9;1.2;0.6;0.0;0.6;34.0;56.0;7.1;5.9;36.7;35.4;0.3;0.6;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0,28.08,0.14,0.0,0.04,14.389,0.791,4785.0,16992.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,,,,,,,100,100,63,24,221.7,2745,10801,30,0,8.4,1.5;15.6;3.9;1.8;0.9;0.9;51.1;38.6;9.9;5.7;42.5;26.0;0.9;0.9;0.0;0.0;0.3;0.3;0.0;0.0;0.0;0.3;0.0;0.0,28.07,0.14,0.0,0.06,14.389,0.791,4248.0,11376.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,,,,,,,96,95,64,21,220.9,2745,10801,30,0,7.8,1.9;12.0;2.2;0.9;1.2;0.6;61.6;37.5;4.0;3.7;34.3;23.4;0.6;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.0;0.0,28.06,0.14,0.05,0.2,14.389,0.791,4638.0,10644.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,,,,,,100,100,63,20,222.2,2745,10801,30,0,8.1,1.2;12.7;3.1;2.8;0.3;1.2;29.0;40.1;7.7;4.6;41.7;46.5;0.6;0.3;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.6;0.0,28.06,0.14,0.0,0.03,14.389,0.791,6347.0,11718.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,,,,,,,100,97,62,20,223.0,2745,10801,31,0,7.9,0.9;12.9;1.2;3.3;0.9;0.3;52.1;37.8;7.6;2.4;41.2;28.4;0.6;0.6;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,28.06,0.14,0.0,0.04,14.389,0.791,4638.0,11181.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
