epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,98,66,41,43,21.6,2565,10801,30,0,8.6,8.7;3.1;5.2;4.8;3.3;3.2;27.8;41.1;10.6;9.8;23.6;43.8;2.9;3.1;0.8;0.8;1.9;2.1;0.6;0.5;1.9;1.9;1.8;2.5,32.28,0.08,0.14,0.29,14.995,0.725,4931.0,22021.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,96,95,52,34,216.2,2760,10801,30,0,21.0,12.9;3.1;18.6;9.9;6.3;5.8;95.3;97.1;46.3;44.0;80.2;76.8;1.0;0.5;0.5;0.3;1.6;0.0;0.0;0.3;0.8;0.8;0.3;1.0,32.28,0.08,0.03,0.07,14.999,0.726,6103.0,27539.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,96,87,54,34,217.6,2760,10801,30,0,21.6,14.3;4.4;16.9;18.2;10.4;6.5;91.1;90.9;51.4;46.1;78.9;76.0;2.1;2.9;0.5;0.3;2.1;0.3;0.3;0.8;2.1;0.5;0.8;0.3,32.23,0.08,0.0,0.04,14.999,0.726,21972.0,20117.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,98,80,53,31,220.1,2760,10801,30,0,22.9,16.5;3.9;17.8;13.6;9.4;7.8;91.7;96.3;53.1;48.6;75.5;86.0;4.4;4.2;1.3;2.4;1.3;2.9;2.1;1.3;2.1;2.6;2.4;2.9,32.22,0.08,0.03,0.13,15.008,0.735,24462.0,60498.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,100,100,53,34,220.3,2760,10801,30,0,21.2,15.3;4.1;10.9;13.9;6.4;5.9;82.1;79.3;40.4;45.7;96.2;96.4;1.5;1.5;0.5;0.0;1.8;0.8;0.0;0.5;1.3;1.5;0.8;1.8,32.26,0.08,0.03,0.09,15.007,0.728,27929.0,17968.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,98,78,54,30,220.3,2745,10801,30,0,20.8,16.9;2.6;17.1;11.4;6.0;3.9;78.0;78.4;37.9;49.9;95.8;96.1;0.8;1.6;0.0;0.0;0.3;0.5;0.0;0.0;0.8;0.5;0.8;0.5,32.26,0.08,0.06,0.13,15.007,0.728,4345.0,39208.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,96,85,55,28,219.7,2745,10801,30,0,20.2,11.2;1.6;15.7;10.7;6.0;3.7;76.0;73.6;33.1;58.6;93.0;96.4;1.3;0.5;0.5;0.0;0.0;0.5;0.0;0.0;0.5;0.5;0.3;1.0,32.23,0.08,0.16,0.09,15.007,0.728,9765.0,40136.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,,98,78,56,28,221.5,2745,10801,30,0,7.6,10.2;0.8;0.8;1.3;1.0;1.0;40.4;33.2;6.0;6.0;27.6;51.7;0.5;0.0;0.5;0.0;0.3;0.5;0.0;0.0;0.0;0.3;0.0;0.0,32.17,0.08,0.03,0.08,15.016,0.737,22998.0,27783.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,100,100,57,28,220.7,2745,10801,30,0,6.7,14.1;0.5;2.2;1.1;1.6;1.1;30.8;20.1;4.3;0.5;56.5;27.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,32.16,0.08,0.05,0.18,15.011,0.732,10351.0,130371.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,1.6811508792023062,0.4395260823230437,0.34558018565177917,0.9811111111111112,0.00037600,90.8,,,,,,,,,,,,,,,,,,,,,,96,97.78,100,66,85.44,100,41,52.78,57,28,32.22,43,21.6,197.56,221.5,2731.7,10801.0,30.0,0,6.7,16.73,22.9,32.16,32.23,32.28,63.16,0.08,0.08,0.08,16.0,0.0,0.06,0.16,0.04,0.12,0.29,10.952,14.279,14.995,15.01,15.016,15.992,0.725,0.73,0.737,4345.0,14761.78,27929.0,17968.0,42849.0,130371.0,4,4.0,4,16,16.0,16,4,16,80.1,9.71
2,1,,,,,,,27,24,47,34,57.1,1380,10801,30,0,62.4,75.7;76.6;87.7;86.9;80.0;82.1;85.5;95.9;83.4;86.2;89.0;92.4;58.9;51.0;26.9;23.1;54.5;56.6;27.9;22.6;35.2;44.8;38.6;37.9,32.34,0.08,0.04,29.51,15.016,0.737,60302.0,62939.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,100,75,59,25,222.8,2745,10801,30,0,27.1,21.3;11.8;28.5;20.8;17.0;12.9;90.2;89.7;55.3;61.7;81.2;82.4;11.3;9.8;3.6;3.6;9.0;9.5;0.8;1.5;7.7;7.7;5.1;7.2,32.24,0.08,0.01,5.09,15.007,0.728,4541.0,38378.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,100,76,60,27,223.7,2745,10801,30,0,20.3,12.1;1.0;18.3;9.9;6.5;2.3;83.3;90.1;38.9;50.4;84.4;82.3;1.3;1.8;0.0;0.3;0.3;1.0;0.0;0.3;0.8;1.3;0.3;0.3,32.2,0.08,0.06,3.14,15.007,0.728,7324.0,42919.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,100,79,59,28,224.4,2745,10801,30,0,20.3,14.0;1.8;12.5;11.2;3.9;1.6;81.8;86.5;43.0;41.7;87.2;89.1;1.3;2.3;1.0;0.5;1.0;1.6;0.5;0.0;1.0;1.8;0.3;0.8,32.17,0.08,0.02,2.59,15.011,0.732,65722.0,254589.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,,,,,,,100,90,59,26,224.2,2745,10801,30,0,20.6,16.5;2.9;14.8;11.0;5.8;4.5;70.5;78.8;39.2;52.4;94.2;97.7;0.8;1.0;0.0;0.3;0.5;0.8;0.3;0.0;1.8;0.5;0.5;0.8,32.14,0.08,0.05,2.64,15.007,0.728,4492.0,31787.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,,,,,,,98,80,59,25,222.8,2745,10801,30,0,21.1,17.2;3.3;20.8;11.5;9.3;4.5;75.6;76.7;41.1;50.0;91.5;94.0;2.5;1.5;0.5;0.0;0.0;1.8;0.0;0.0;2.0;0.5;0.5;1.0,32.15,0.08,0.58,1.67,15.007,0.728,0.0,1416.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,98,96,59,25,222.3,2745,10801,30,0,20.2,12.9;1.8;14.4;9.7;7.0;3.1;85.1;80.0;44.4;39.9;89.3;88.8;1.6;1.3;0.8;0.3;0.3;0.5;0.5;0.3;1.0;0.8;0.3;0.8,32.11,0.08,0.28,3.27,15.007,0.728,19824.0,9619.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,98,95,61,25,222.9,2745,10801,30,0,8.0,13.9;0.8;3.9;4.7;1.0;1.6;44.4;39.6;8.9;6.0;26.1;37.1;0.8;0.5;0.3;0.0;0.3;0.5;0.0;0.0;0.5;0.0;0.0;0.3,32.04,0.08,0.01,3.75,15.011,0.732,2685.0,39892.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,,,,,,,100,76,61,25,224.8,2745,10801,30,0,6.9,8.0;0.0;5.0;4.4;1.1;1.1;63.5;7.8;7.8;3.3;48.3;11.7;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;0.0;0.0;0.0,32.02,0.08,0.05,0.13,15.007,0.728,30615.0,13427.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,0.4475413964475997,0.9441486696967765,0.30323417353630067,0.9932222222222222,0.00075200,47.2,,,,,,,,,,,,,,,,,,,,,,27,91.22,100,24,76.78,96,47,58.22,61,25,26.67,34,57.1,205.0,224.8,2593.3,10801.0,30.0,0,6.9,22.99,62.4,32.02,32.16,32.34,63.16,0.08,0.08,0.08,16.0,0.01,0.12,0.58,0.13,5.75,29.51,10.955,14.279,15.007,15.01,15.016,15.992,0.728,0.73,0.737,0.0,21722.78,65722.0,1416.0,54996.22,254589.0,4,4.0,4,16,16.0,16,4,16,36.72,9.43
3,1,,,,,,,1,0,52,30,77.3,2760,10801,30,0,60.0,75.5;74.8;81.5;80.8;79.5;79.5;91.1;87.0;88.4;89.0;95.9;85.7;54.8;46.3;20.0;23.3;50.3;52.1;18.0;16.0;50.0;43.2;32.7;27.4,32.25,0.08,0.3,5.18,15.016,0.737,4296.0,18408.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
