epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,100,51,52,35,45.0,2760,10801,30,0,9.8,8.1;5.6;7.9;9.5;5.8;6.1;23.5;42.5;13.6;13.8;25.2;44.1;4.7;4.9;0.5;0.9;3.3;3.7;0.5;0.4;3.1;2.9;1.7;1.6,37.14,0.07,0.02,0.68,14.854,0.635,244.0,1416.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,100,63,61,27,243.3,2745,10801,30,0,6.5,4.1;1.5;2.1;2.4;1.8;1.8;27.6;37.4;4.1;6.5;20.9;44.1;0.6;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.6;1.5,37.15,0.07,0.05,0.13,14.865,0.644,1025.0,195.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,3.184731296743963,0.10935134087793956,3.241795627544352,0.11874745831638878,0.00113333,56.4,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,51,57.0,63,52,56.5,61,27,31.0,35,45.0,144.15,243.3,2752.5,10801.0,30.0,0,6.5,8.15,9.8,37.14,37.14,37.15,63.16,0.07,0.07,0.07,20.1,0.02,0.04,0.05,0.13,0.41,0.68,8.478,14.221,14.854,14.86,14.865,15.992,0.635,0.64,0.644,244.0,634.5,1025.0,195.0,805.5,1416.0,4,4.0,4,16,16.0,16,4,16,47.71,5.87
2,1,,,,,,,100,67,53,29,66.1,2760,10801,30,0,43.4,54.3;51.6;56.8;56.8;55.2;56.1;71.4;74.8;57.3;58.4;78.1;73.2;44.5;44.0;6.2;8.6;38.4;41.6;6.7;17.1;36.5;29.5;10.8;13.1,39.64,0.07,0.03,1.97,15.551,0.0,21240.0,16064.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,100,52,61,22,244.1,2745,10801,30,0,6.9,6.3;1.5;2.6;1.5;0.3;1.2;32.1;37.1;2.9;4.7;34.1;33.4;0.9;0.6;0.3;0.3;0.0;0.0;0.0;0.0;2.6;1.5;0.3;1.2,39.62,0.07,0.01,2.5,15.555,0.0,1416.0,1367.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,3.0436554941677882,0.23406698289905203,3.0558623915622274,0.31886945912972753,0.00226667,11.1,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,52,59.5,67,53,57.0,61,22,25.5,29,66.1,155.1,244.1,2752.5,10801.0,30.0,0,6.9,25.15,43.4,39.62,39.63,39.64,63.16,0.07,0.07,0.07,23.14,0.01,0.02,0.03,1.97,2.23,2.5,8.478,17.311,15.551,15.55,15.555,15.992,0.0,0.0,0.0,1416.0,11328.0,21240.0,1367.0,8715.5,16064.0,4,4.0,4,16,16.0,16,4,16,3.3,5.67
3,1,,,,,,,100,45,48,30,36.0,2445,10801,30,0,45.5,59.4;55.4;60.1;62.2;56.6;55.9;73.5;70.3;58.8;61.8;78.7;77.5;48.0;48.0;10.5;11.5;39.2;45.1;7.6;8.1;27.0;42.8;16.3;17.5,39.64,0.07,0.02,2.6,15.551,0.0,37109.0,264990.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,100,52,61,22,245.1,2745,10801,30,0,6.6,6.3;1.8;3.2;2.6;1.5;1.5;31.8;28.2;4.7;5.3;30.5;38.6;0.3;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.9;0.3;0.6,39.62,0.07,0.02,2.61,15.555,0.0,1367.0,1416.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,2.631572524799199,0.4741907010455762,2.038010779276472,0.7383489223261488,0.00340000,11.2,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,45,48.5,52,48,54.5,61,22,26.0,30,36.0,140.55,245.1,2595.0,10801.0,30.0,0,6.6,26.05,45.5,39.62,39.63,39.64,63.16,0.07,0.07,0.07,23.14,0.02,0.02,0.02,2.6,2.6,2.61,8.478,17.311,15.551,15.55,15.555,15.992,0.0,0.0,0.0,1367.0,19238.0,37109.0,1416.0,133203.0,264990.0,4,4.0,4,16,16.0,16,4,16,3.36,5.67
4,1,,,,,,,99,79,57,27,86.1,2745,10801,30,0,45.4,58.9;57.0;63.4;62.6;57.1;58.6;68.2;80.9;61.0;62.6;79.8;72.8;48.1;45.1;9.3;8.3;43.8;41.3;6.1;6.4;39.8;31.3;14.8;13.7,39.64,0.07,0.04,3.25,15.551,0.0,0.0,1757.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
