epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,98,66,48,36,22.1,2565,10801,30,0,8.7,11.3;4.3;5.7;6.2;4.3;4.5;20.5;38.7;10.9;11.4;21.9;42.8;3.2;3.5;1.3;1.6;2.5;2.9;1.0;0.8;2.7;2.3;2.3;2.9,36.29,0.08,0.21,1.13,14.94,0.754,830.0,1367.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,100,70,56,28,223.7,2745,10801,30,0,16.7,16.4;5.2;13.2;13.5;7.6;5.9;57.5;71.7;36.5;20.9;60.2;51.8;3.2;3.9;2.7;2.5;3.4;3.4;2.9;2.7;2.2;2.5;3.2;3.7,36.55,0.08,0.12,0.43,14.953,0.764,46191.0,195849.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,100,99,57,26,224.9,2745,10801,30,0,8.0,15.1;1.4;4.1;4.6;1.1;2.5;36.2;31.8;7.6;7.0;48.0;22.5;1.1;0.8;0.5;0.0;0.5;0.0;1.1;0.5;0.5;0.5;1.9;2.7,36.52,0.08,0.02,0.84,14.953,0.764,0.0,1513.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,3.258531166257856,0.046064198523132566,3.266742152283472,0.022244814965433103,0.00009600,59.4,,,,,,,,,,,,,,,,,,,,,,98,99.33,100,66,78.33,99,48,53.67,57,26,30.0,36,22.1,156.9,224.9,2685.0,10801.0,30.0,0,8.0,11.13,16.7,36.29,36.45,36.55,63.16,0.08,0.08,0.08,20.06,0.02,0.12,0.21,0.43,0.8,1.13,10.926,14.189,14.94,14.95,14.953,15.992,0.754,0.76,0.764,0.0,15673.67,46191.0,1367.0,66243.0,195849.0,4,4.0,4,16,16.0,16,4,16,54.96,2.63
2,1,,,,,,,0,0,49,30,56.5,2760,10801,30,0,62.1,79.0;79.3;90.4;94.9;84.9;87.4;95.5;97.0;89.0;89.9;94.9;97.0;50.0;58.6;17.2;18.7;44.7;45.2;12.6;15.7;46.5;42.9;26.3;32.7,36.72,0.08,0.09,4.31,14.953,0.764,36523.0,161572.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,100,72,59,27,225.8,2745,10801,30,0,24.6,24.2;15.2;25.8;29.2;18.6;21.6;73.2;57.2;37.9;37.6;71.8;57.0;14.0;14.3;7.9;6.9;9.9;12.6;3.4;5.7;12.8;12.3;9.1;11.0,36.67,0.08,0.11,7.0,14.953,0.764,24511.0,38085.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,96,90,60,24,228.0,2745,10801,30,0,7.0,16.8;0.3;1.9;2.5;0.3;1.1;34.3;40.8;3.6;7.5;21.0;36.5;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.8,36.64,0.08,0.03,4.68,14.948,0.759,23144.0,312158.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,3.1258062807509948,0.10605745287013182,2.628215674299106,0.1812525416836112,0.00019200,14.9,,,,,,,,,,,,,,,,,,,,,,0,65.33,100,0,54.0,90,49,56.0,60,24,27.0,30,56.5,170.1,228.0,2750.0,10801.0,30.0,0,7.0,31.23,62.1,36.64,36.68,36.72,63.16,0.08,0.08,0.08,20.06,0.03,0.08,0.11,4.31,5.33,7.0,10.926,14.189,14.948,14.95,14.953,15.992,0.759,0.76,0.764,23144.0,28059.33,36523.0,38085.0,170605.0,312158.0,4,4.0,4,16,16.0,16,4,16,11.3,1.9
3,1,,,,,,,0,0,50,25,57.0,2760,10801,30,0,63.0,80.6;80.6;94.0;95.0;87.1;90.0;98.5;95.5;87.6;89.6;90.5;95.5;53.7;55.2;22.9;24.3;41.8;44.3;13.9;17.4;41.8;45.8;28.4;37.6,36.72,0.08,0.0,8.13,14.953,0.764,3955.0,68359.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,100,92,60,25,226.5,2745,10801,30,0,24.0,26.6;15.3;23.2;25.6;16.9;18.7;69.1;57.1;29.7;43.1;76.1;58.7;13.2;14.1;6.2;6.3;12.0;11.3;4.6;4.1;11.9;12.9;9.4;9.3,36.74,0.08,0.04,5.16,14.952,0.757,6640.0,19189.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
