epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,11,7,44,40,19.8,210,405,30,0,10.6,13.9;5.7;9.9;8.6;6.3;6.0;23.7;26.3;12.8;13.1;27.8;24.5;4.0;4.5;1.5;1.5;2.5;2.4;24.6;24.1;2.7;2.3;2.1;2.4,28.86,0.1,0.66,0.69,1.624,0.0,3369.0,16455.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,3,3,44,39,19.8,210,405,30,0,14.1,28.0;4.5;27.3;18.2;13.6;9.1;27.3;45.5;36.4;4.5;36.4;45.5;9.1;4.5;0.0;0.0;4.5;0.0;4.5;0.0;4.5;4.5;4.5;4.5,28.91,0.1,0.92,0.26,1.624,0.0,3076.0,16455.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,1.1003891603816907,0.33568402752271115,1.1023402150033093,0.2627489072365226,0.00064000,45.9,,,,,,,,,,,,,,,,,,,,,,3,7.0,11,3,5.0,7,44,44.0,44,39,39.5,40,19.8,19.8,19.8,210.0,405.0,30.0,0,10.6,12.35,14.1,28.86,28.88,28.91,63.16,0.1,0.1,0.1,16.0,0.66,0.79,0.92,0.26,0.47,0.69,8.274,13.691,1.624,1.62,1.624,15.992,0.0,0.0,0.0,3076.0,3222.5,3369.0,16455.0,16455.0,16455.0,4,4.0,4,16,16.0,16,4,16,44.67,0.45
2,1,,,,,,,2,1,44,40,34.9,480,5001,30,0,55.2,43.3;39.5;50.5;49.2;40.3;38.4;41.9;39.0;38.2;27.4;37.6;43.2;58.4;58.4;71.9;73.0;58.9;58.3;85.5;80.5;69.5;68.6;76.2;76.8,28.9,0.1,0.0,0.51,1.628,0.0,3515.0,18652.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,97,16,46,38,34.9,480,5001,30,0,16.0,26.5;13.3;23.3;13.3;26.7;13.3;16.7;66.7;36.7;6.7;40.0;16.7;3.3;16.7;6.7;3.3;9.7;0.0;33.3;3.3;3.3;0.0;3.3;0.0,28.93,0.1,0.0,0.0,1.629,0.0,3076.0,27441.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,1.0899833494680087,0.35931340140551926,1.097405037550429,0.30604315548463196,0.00128000,3.3,,,,,,,,,,,,,,,,,,,,,,2,49.5,97,1,8.5,16,44,45.0,46,38,39.0,40,34.9,34.9,34.9,480.0,5001.0,30.0,0,16.0,35.6,55.2,28.9,28.91,28.93,63.16,0.1,0.1,0.1,16.0,0.0,0.0,0.0,0.0,0.26,0.51,8.274,13.691,1.628,1.63,1.629,15.992,0.0,0.0,0.0,3076.0,3295.5,3515.0,18652.0,23046.5,27441.0,4,4.0,4,16,16.0,16,4,16,2.22,0.31
3,1,,,,,,,1,1,44,40,44.7,585,5001,30,0,60.5,45.1;39.5;45.9;44.2;48.8;39.5;52.3;43.7;36.2;34.3;50.0;37.8;69.2;69.8;77.9;76.7;67.1;66.3;99.4;86.6;76.2;76.7;83.8;86.0,28.9,0.1,0.0,0.61,1.646,0.0,341.0,1660.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,7,2,44,39,44.7,585,5001,30,0,13.1,18.2;13.3;13.3;10.0;13.3;3.3;43.3;46.7;23.3;20.0;43.3;6.7;10.0;0.0;0.0;0.0;0.0;0.0;48.1;3.4;0.0;0.0;0.0;0.0,28.94,0.1,0.0,0.0,1.643,0.0,488.0,195.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,1.0663881972579912,0.43376429393471927,1.051925561036523,0.4497328800388538,0.00192000,3.2,,,,,,,,,,,,,,,,,,,,,,1,4.0,7,1,1.5,2,44,44.0,44,39,39.5,40,44.7,44.7,44.7,585.0,5001.0,30.0,0,13.1,36.8,60.5,28.9,28.92,28.94,63.16,0.1,0.1,0.1,16.0,0.0,0.0,0.0,0.0,0.3,0.61,8.274,13.691,1.643,1.64,1.646,15.992,0.0,0.0,0.0,341.0,414.5,488.0,195.0,927.5,1660.0,4,4.0,4,16,16.0,16,4,16,2.04,0.3
4,1,,,,,,,0,0,44,40,31.0,525,5001,30,0,58.7,48.3;32.2;45.1;49.5;47.2;46.7;50.3;52.8;40.0;48.3;42.5;43.9;46.1;45.0;76.8;77.1;70.0;70.6;89.7;85.6;73.9;74.4;75.7;76.7,28.92,0.1,0.0,0.39,1.627,0.0,732.0,146.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
