epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,99,59,51,27,31.0,2565,10801,30,0,6.7,2.5;6.6;3.2;3.4;2.3;2.3;20.6;41.2;5.9;4.9;16.4;41.1;2.0;1.9;0.5;0.6;1.2;1.1;0.3;0.2;0.9;1.2;0.5;0.9,37.58,0.08,0.15,0.62,14.972,0.665,195.0,9472.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,100,79,63,21,233.8,2745,10801,31,0,7.3,0.5;3.9;1.5;1.5;0.6;0.4;42.0;33.8;3.8;3.3;34.3;46.6;0.5;0.6;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.9;0.4,37.85,0.08,0.0,0.1,14.976,0.669,1074.0,7128.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,100,60,68,21,235.6,2730,10801,33,0,7.6,2.2;5.7;1.6;1.2;0.5;1.2;32.7;36.9;2.5;3.7;42.3;49.8;0.5;0.5;0.0;0.1;0.0;0.0;0.0;0.0;0.2;0.1;0.0;0.4,37.59,0.08,0.0,0.04,14.976,0.669,7324.0,125048.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,100,47,68,16,235.9,2730,10801,34,0,7.9,1.5;4.0;2.7;4.2;0.2;0.7;40.1;54.0;3.5;3.2;26.6;44.6;0.2;0.2;0.0;0.1;0.0;0.0;0.2;0.5;1.2;0.7;0.0;0.2,37.82,0.08,0.0,0.02,14.976,0.669,1269.0,1611.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,100,78,67,22,238.8,2730,10801,36,0,7.8,1.2;2.9;1.6;2.2;0.7;0.5;38.5;43.5;5.6;5.3;24.9;58.7;1.0;0.4;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.0,37.65,0.08,0.0,0.08,14.976,0.669,1464.0,127783.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,98,74,69,16,238.6,2730,10801,36,0,8.4,0.4;13.4;2.1;0.7;0.4;1.0;34.6;45.0;4.0;3.6;36.1;56.1;0.5;0.7;0.0;0.0;0.1;0.0;0.0;0.2;0.5;1.1;0.1;0.2,37.81,0.08,0.0,0.02,14.976,0.669,683.0,585.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,100,92,67,14,239.9,2730,10801,37,0,7.1,1.2;2.8;2.2;0.4;0.6;0.4;32.3;44.5;3.5;2.1;35.9;43.1;1.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0,37.69,0.08,0.0,0.03,14.976,0.669,1513.0,5615.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,,100,87,69,16,238.7,2730,10801,37,0,7.3,1.5;3.5;1.9;1.1;1.4;0.4;43.1;35.6;4.2;2.5;30.2;49.1;0.6;0.4;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0,37.71,0.08,0.0,0.03,14.976,0.669,1269.0,6982.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,100,70,72,14,238.1,2730,10801,38,0,6.2,1.2;2.8;2.0;0.6;0.5;0.2;19.1;25.1;3.3;2.6;45.5;43.7;0.6;0.4;0.0;0.2;0.1;0.0;0.0;0.1;0.5;0.0;0.2;0.0,37.79,0.08,0.01,0.17,14.976,0.669,1513.0,8886.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,,100,78,72,15,240.1,2730,10801,38,0,5.2,0.3;5.8;1.1;0.5;0.3;0.3;24.3;62.0;1.7;0.6;16.4;8.0;0.2;0.3;0.2;0.0;0.2;0.2;0.0;0.0;0.3;0.9;0.0;0.2,37.77,0.08,0.0,0.1,14.976,0.669,830.0,1806.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
