epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,100,80,56,28,27.3,2565,10801,30,0,12.6,7.0;4.2;9.1;14.8;5.5;6.4;43.2;47.3;15.5;32.0;67.6;21.8;3.2;3.5;1.3;1.8;2.7;2.8;1.1;1.3;2.4;2.3;2.1;3.0,37.04,0.08,0.06,0.74,15.452,0.681,4248.0,26708.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,100,55,64,22,253.0,2730,10801,30,0,20.4,10.9;4.6;18.1;17.2;5.2;8.0;80.0;80.8;58.9;49.0;88.9;38.2;3.0;3.7;1.1;1.1;1.7;2.2;7.4;2.0;2.6;2.0;0.7;2.6,37.05,0.08,0.0,0.09,15.452,0.681,6933.0,2392.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,100,59,65,21,256.7,2745,10801,31,0,17.9,5.2;1.3;16.6;13.7;3.5;5.0;83.8;84.9;55.9;48.4;92.4;13.8;0.9;1.5;0.0;0.0;0.2;0.4;0.2;0.0;0.2;0.2;0.2;0.0,37.06,0.08,0.02,0.1,15.452,0.681,488.0,2246.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,97,74,67,19,256.5,2730,10801,33,0,13.7,6.4;1.8;10.1;8.7;1.5;3.9;72.6;64.3;30.6;23.1;68.3;34.6;0.9;0.7;0.0;0.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.4,37.06,0.08,0.0,0.04,15.452,0.681,13671.0,15869.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,94,74,68,16,255.8,2730,10801,33,0,11.6,7.3;2.4;7.1;4.8;4.2;2.1;60.4;40.1;18.7;11.6;69.2;39.5;1.6;1.6;0.8;0.0;1.8;0.5;0.5;0.3;1.6;0.5;1.1;1.6,37.07,0.08,0.01,0.07,15.454,0.681,488.0,4443.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,2.383863078057163,0.4611711234940697,0.6162402655971255,0.9449952369191688,0.00646667,86.4,,,,,,,,,,,,,,,,,,,,,,94,98.2,100,55,68.4,80,56,64.0,68,16,21.2,28,27.3,209.86,256.7,2700.0,10801.0,31.4,0,11.6,15.24,20.4,37.04,37.06,37.07,63.16,0.08,0.08,0.08,20.05,0.0,0.02,0.06,0.04,0.21,0.74,8.428,14.773,15.452,15.45,15.454,15.992,0.681,0.68,0.681,488.0,5165.6,13671.0,2246.0,10331.6,26708.0,4,4.0,4,16,16.0,16,4,16,48.26,27.26
2,1,,,,,,,100,51,63,23,87.5,2745,10801,34,0,32.9,36.9;35.1;43.1;40.2;37.6;39.1;57.8;81.6;52.2;39.3;81.6;52.5;22.2;25.3;11.1;9.4;21.5;22.6;8.3;8.7;18.3;17.5;16.2;12.3,40.39,0.08,0.01,0.06,15.454,0.0,0.0,2392.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,100,79,64,16,256.1,2730,10801,34,0,21.3,13.2;6.7;29.7;11.9;8.9;9.5;89.6;88.6;58.7;51.4;97.8;6.7;5.0;3.0;2.2;2.2;2.6;3.7;4.3;4.8;3.5;2.8;2.6;2.8,40.49,0.08,0.0,2.7,15.454,0.0,11035.0,2001.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,100,73,66,24,252.0,2730,10801,34,0,18.6,9.0;3.7;22.2;9.1;7.6;4.6;70.8;82.9;40.5;58.9;95.7;29.3;2.6;2.6;0.4;0.4;0.9;1.5;0.2;0.4;1.1;0.7;0.2;0.6,40.47,0.08,0.0,2.12,15.454,0.0,1074.0,2099.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,100,52,69,15,258.7,2730,10801,35,0,14.0,8.8;1.5;10.5;6.8;3.7;3.1;45.2;68.3;29.3;26.0;97.8;29.3;0.9;0.7;0.2;0.2;0.7;0.2;0.4;0.2;0.2;0.2;0.0;1.1,40.42,0.08,0.01,1.58,15.454,0.0,1318.0,146.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,,,,,,,100,65,70,14,257.5,2730,10801,36,0,10.8,6.0;1.1;4.8;2.7;2.4;2.1;70.5;31.8;21.2;14.6;92.6;6.6;0.8;0.3;0.0;0.0;0.3;0.3;0.0;0.5;0.3;0.0;0.0;0.5,40.41,0.08,0.0,1.41,15.454,0.0,15283.0,2050.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,0.5083962612767685,0.9684462845935934,0.4636016378089619,0.9727269519810888,0.01293333,38.1,,,,,,,,,,,,,,,,,,,,,,100,100.0,100,51,64.0,79,63,66.4,70,14,18.4,24,87.5,222.36,258.7,2733.0,10801.0,34.6,0,10.8,19.52,32.9,40.39,40.44,40.49,63.16,0.08,0.08,0.08,24.09,0.0,0.0,0.01,0.06,1.57,2.7,8.428,18.023,15.454,15.45,15.454,15.992,0.0,0.0,0.0,0.0,5742.0,15283.0,146.0,1737.6,2392.0,4,4.0,4,16,16.0,16,4,16,1.65,26.9
3,1,,,,,,,0,0,55,21,82.0,2745,10801,36,0,35.2,40.5;39.7;46.1;42.7;41.8;43.4;69.1;73.8;44.6;49.9;85.5;51.2;29.9;30.1;10.8;10.8;25.0;26.8;6.6;8.0;20.1;19.5;14.5;13.8,40.56,0.08,0.0,2.37,15.454,0.0,1123.0,2343.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,100,85,67,17,256.8,2730,10801,36,0,20.2,10.1;5.9;21.1;22.9;8.9;11.1;75.4;78.2;41.9;66.7;77.8;47.8;3.7;2.0;0.7;1.5;1.1;2.0;0.9;0.4;0.4;0.9;0.9;1.5,40.48,0.08,0.0,2.97,15.454,0.0,488.0,2050.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,92,68,66,15,255.3,2730,10801,36,0,18.4,7.8;3.9;19.7;12.1;5.2;4.6;65.2;58.8;32.0;66.1;88.3;69.6;0.9;3.0;0.4;0.0;1.3;0.9;0.7;0.2;0.0;0.2;0.7;0.9,40.48,0.08,0.0,2.01,15.454,0.0,1123.0,2246.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,,,,100,63,71,17,257.9,2730,10801,36,0,13.7,8.5;2.2;6.1;14.7;2.9;4.8;54.8;74.6;20.8;30.1;97.6;3.1;0.9;2.2;0.4;0.0;1.3;1.1;0.0;0.0;0.7;0.9;0.7;0.9,40.46,0.08,0.1,1.71,15.454,0.0,30712.0,244.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,,,,,,,100,64,71,17,258.5,2730,10801,36,0,10.6,3.4;0.5;5.3;4.8;1.1;2.4;55.9;47.7;5.3;22.7;99.7;0.0;0.0;0.5;0.0;0.0;0.0;0.3;0.0;0.0;0.3;0.5;0.5;1.6,40.44,0.08,0.0,4.41,15.454,0.0,634.0,2197.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,0.44253051368295787,0.9802758148367213,0.42749828994284655,0.9815121899587199,0.01940000,38.1,,,,,,,,,,,,,,,,,,,,,,0,78.4,100,0,56.0,85,55,66.0,71,15,17.4,21,82.0,222.1,258.5,2733.0,10801.0,36.0,0,10.6,19.62,35.2,40.44,40.48,40.56,63.16,0.08,0.08,0.08,24.09,0.0,0.02,0.1,1.71,2.69,4.41,8.428,18.023,15.454,15.45,15.454,15.992,0.0,0.0,0.0,488.0,6816.0,30712.0,244.0,1816.0,2343.0,4,4.0,4,16,16.0,16,4,16,1.64,26.9
4,1,,,,,,,99,84,54,30,21.4,2565,10801,30,0,16.4,11.4;10.9;14.9;21.5;11.3;13.3;47.3;47.5;20.3;38.5;72.2;26.0;7.3;8.2;3.0;3.1;6.0;6.3;2.5;2.5;5.3;5.8;4.5;4.7,37.1,0.08,0.01,1.36,13.358,0.68,195.0,2050.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
