epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_temp_tlimit_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,cpu_pct_per_core,ram_used_gb,swap_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,vram_other_processes_gb,pcie_tx_kb_s,pcie_rx_kb_s,pcie_link_gen_current,pcie_link_width_current,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_temp_tlimit_c_min,gpu_temp_tlimit_c_avg,gpu_temp_tlimit_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,swap_used_gb_min,swap_used_gb_avg,swap_used_gb_max,swap_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,vram_other_processes_gb_min,vram_other_processes_gb_avg,vram_other_processes_gb_max,pcie_tx_kb_s_min,pcie_tx_kb_s_avg,pcie_tx_kb_s_max,pcie_rx_kb_s_min,pcie_rx_kb_s_avg,pcie_rx_kb_s_max,pcie_link_gen_current_min,pcie_link_gen_current_avg,pcie_link_gen_current_max,pcie_link_width_current_min,pcie_link_width_current_avg,pcie_link_width_current_max,pcie_link_gen_max,pcie_link_width_max,data_wait_s,compute_s
1,1,,,,,,,73,0,50,35,68.2,2760,10801,30,0,7.8,9.6;3.4;4.3;4.3;2.8;3.0;22.6;39.5;6.8;8.4;24.9;39.8;2.3;2.1;0.7;0.7;2.0;2.0;0.6;0.6;1.7;2.0;1.7;2.3,36.13,0.13,6.8,0.59,14.987,0.764,3369.0,20996.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,100,100,56,27,221.7,2745,10801,30,0,20.7,13.3;2.1;14.3;10.1;5.4;4.7;95.3;97.1;51.7;39.5;68.8;78.4;3.6;1.0;0.5;0.3;1.6;1.0;0.5;0.8;2.6;2.6;0.8;0.8,36.14,0.13,0.0,0.14,14.991,0.764,28906.0,54541.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,100,100,58,25,220.9,2745,10801,30,0,13.6,13.0;5.2;9.9;8.6;5.8;7.0;48.3;68.1;16.0;26.4;56.4;41.7;2.9;2.4;1.3;0.5;1.6;1.3;0.8;0.8;2.1;2.1;0.5;3.4,36.21,0.13,0.39,0.6,14.991,0.764,22802.0,23632.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,100,78,58,25,223.7,2745,10801,30,0,8.0,8.7;2.2;2.9;3.3;2.5;2.2;43.6;27.1;7.6;12.7;37.5;29.8;2.2;1.8;0.0;0.4;1.4;1.5;0.4;0.4;0.7;1.1;0.0;1.4,36.21,0.13,0.01,0.41,14.991,0.764,5664.0,18847.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,3.256415446595861,0.05545559256607415,3.2039723726047886,0.15083089298945065,0.00013800,65.0,,,,,,,,,,,,,,,,,,,,,,73,93.25,100,0,69.5,100,50,55.5,58,25,28.0,35,68.2,183.62,223.7,2748.8,10801.0,30.0,0,7.8,12.53,20.7,36.13,36.17,36.21,63.16,0.13,0.13,0.13,20.05,0.0,1.8,6.8,0.14,0.43,0.6,10.913,14.227,14.987,14.99,14.991,15.992,0.764,0.76,0.764,3369.0,15185.25,28906.0,18847.0,29504.0,54541.0,4,4.0,4,16,16.0,16,4,16,59.02,3.62
2,1,,,,,,,0,0,50,30,79.4,2760,10801,30,0,62.7,77.2;78.2;88.6;87.3;75.9;83.9;94.9;92.4;82.3;87.3;91.1;95.8;56.1;55.9;25.4;27.1;47.9;46.8;23.3;24.5;44.1;48.5;39.0;31.2,36.4,0.13,2.22,4.23,14.991,0.764,341.0,390.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,96,93,60,22,221.0,2745,10801,30,0,29.7,22.8;15.1;28.6;22.6;15.3;18.2;86.2;85.2;56.8;64.9;90.6;92.7;10.2;12.5;8.8;7.5;9.4;10.4;11.7;8.9;8.8;8.1;8.1;10.8,36.41,0.13,4.2,6.25,14.991,0.764,4931.0,218945.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,100,78,60,23,224.2,2745,10801,30,0,10.7,19.1;1.8;4.4;5.6;1.5;1.8;36.0;40.6;10.2;19.2;62.3;46.8;0.5;1.0;0.0;0.5;1.0;0.3;0.0;0.3;2.0;0.5;0.0;0.8,36.41,0.13,0.45,6.32,14.999,0.767,8544.0,25537.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,96,93,61,22,222.5,2745,10801,30,0,7.3,13.7;1.4;2.9;1.8;0.7;2.9;33.3;30.6;3.6;7.6;36.6;33.0;0.7;0.4;0.4;0.7;0.7;0.4;0.4;0.4;0.7;1.8;0.4;0.4,36.39,0.13,0.06,4.82,14.999,0.767,32519.0,23144.0,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,2.6881712856422757,0.21895837873174984,1.9231768789689434,0.5317715132484211,0.00027600,19.9,,,,,,,,,,,,,,,,,,,,,,0,73.0,100,0,66.0,93,50,57.75,61,22,24.25,30,79.4,186.78,224.2,2748.8,10801.0,30.0,0,7.3,27.6,62.7,36.39,36.4,36.41,63.16,0.13,0.13,0.13,20.05,0.06,1.73,4.2,4.23,5.41,6.32,10.914,14.232,14.991,15.0,14.999,15.992,0.764,0.77,0.767,341.0,11583.75,32519.0,390.0,67004.0,218945.0,4,4.0,4,16,16.0,16,4,16,14.27,3.22
